"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDUNILVR","EQ","24-Jul-2024","2,766.35","2,748.00","2,757.45","2,675.10","2,720.95","2,717.05","2,715.39","36,11,927","9,80,77,92,324.95","2,28,361","20,01,357","55.41"
"HINDUNILVR","EQ","25-Jul-2024","2,717.05","2,717.05","2,724.85","2,670.00","2,710.40","2,707.20","2,700.53","21,66,670","5,85,11,54,581.20","1,39,646","10,95,480","50.56"
"HINDUNILVR","EQ","26-Jul-2024","2,707.20","2,724.00","2,727.00","2,687.25","2,710.00","2,711.05","2,707.53","21,35,309","5,78,14,11,541.95","1,08,530","13,03,827","61.06"
"HINDUNILVR","EQ","29-Jul-2024","2,711.05","2,711.20","2,720.00","2,692.80","2,715.60","2,711.60","2,705.55","9,57,011","2,58,92,41,971.50","58,900","6,18,822","64.66"
"HINDUNILVR","EQ","30-Jul-2024","2,711.60","2,715.60","2,754.35","2,685.40","2,691.40","2,691.40","2,719.02","15,60,399","4,24,27,58,281.35","88,086","8,28,413","53.09"
"HINDUNILVR","EQ","31-Jul-2024","2,691.40","2,705.00","2,709.65","2,675.05","2,707.00","2,705.65","2,696.21","17,51,085","4,72,12,99,809.25","97,411","12,84,076","73.33"
"HINDUNILVR","EQ","01-Aug-2024","2,705.65","2,714.00","2,724.95","2,695.20","2,717.70","2,715.55","2,709.46","18,86,392","5,11,11,11,102.35","94,476","11,11,525","58.92"
"HINDUNILVR","EQ","02-Aug-2024","2,715.55","2,712.00","2,759.50","2,681.15","2,696.00","2,692.55","2,712.68","17,38,872","4,71,70,01,094.00","1,14,139","6,85,237","39.41"
"HINDUNILVR","EQ","05-Aug-2024","2,692.55","2,675.95","2,742.00","2,666.20","2,720.00","2,715.90","2,717.80","31,18,731","8,47,60,94,311.05","1,72,541","16,37,562","52.51"
"HINDUNILVR","EQ","06-Aug-2024","2,715.90","2,720.10","2,771.75","2,708.65","2,757.60","2,750.05","2,751.81","22,96,031","6,31,82,39,055.70","1,29,458","14,89,954","64.89"
"HINDUNILVR","EQ","07-Aug-2024","2,750.05","2,781.70","2,781.85","2,735.50","2,742.95","2,744.05","2,758.49","17,13,875","4,72,76,99,643.30","1,08,113","11,98,645","69.94"
"HINDUNILVR","EQ","08-Aug-2024","2,744.05","2,754.00","2,759.25","2,720.40","2,730.10","2,733.20","2,736.46","14,64,161","4,00,66,12,916.70","1,04,340","8,43,487","57.61"
"HINDUNILVR","EQ","09-Aug-2024","2,733.20","2,756.00","2,758.00","2,718.60","2,745.00","2,747.20","2,735.44","12,84,031","3,51,23,89,300.25","67,439","8,65,046","67.37"
"HINDUNILVR","EQ","12-Aug-2024","2,747.20","2,738.00","2,763.40","2,722.40","2,750.00","2,748.70","2,747.23","12,97,178","3,56,36,50,159.05","69,639","8,92,152","68.78"
"HINDUNILVR","EQ","13-Aug-2024","2,748.70","2,742.00","2,757.65","2,730.10","2,739.05","2,741.40","2,743.80","10,51,237","2,88,43,86,238.65","81,551","7,21,187","68.60"
"HINDUNILVR","EQ","14-Aug-2024","2,741.40","2,741.00","2,742.55","2,706.60","2,721.15","2,722.05","2,726.80","9,46,995","2,58,22,61,363.65","63,014","5,70,451","60.24"
"HINDUNILVR","EQ","16-Aug-2024","2,722.05","2,737.90","2,753.60","2,710.70","2,749.00","2,748.25","2,734.04","17,27,926","4,72,42,15,377.60","91,626","11,93,813","69.09"
"HINDUNILVR","EQ","19-Aug-2024","2,748.25","2,750.05","2,759.75","2,737.05","2,739.00","2,742.55","2,747.76","11,30,327","3,10,58,67,280.95","50,920","8,49,577","75.16"
"HINDUNILVR","EQ","20-Aug-2024","2,742.55","2,742.55","2,756.25","2,735.05","2,748.00","2,751.05","2,744.75","10,97,889","3,01,34,28,066.55","62,029","8,28,235","75.44"
"HINDUNILVR","EQ","21-Aug-2024","2,751.05","2,749.50","2,795.10","2,742.95","2,792.00","2,791.20","2,777.66","14,17,729","3,93,79,72,378.20","62,628","9,60,550","67.75"
"HINDUNILVR","EQ","22-Aug-2024","2,791.20","2,802.95","2,810.00","2,782.10","2,792.50","2,792.80","2,792.22","15,52,947","4,33,61,74,134.55","84,104","10,29,229","66.28"
"HINDUNILVR","EQ","23-Aug-2024","2,792.80","2,799.20","2,821.00","2,771.35","2,810.50","2,815.60","2,803.87","21,11,401","5,92,01,02,615.25","1,06,915","15,10,253","71.53"
"HINDUNILVR","EQ","26-Aug-2024","2,815.60","2,815.60","2,834.95","2,803.60","2,809.80","2,821.15","2,822.30","11,52,244","3,25,19,78,948.20","79,939","6,87,038","59.63"
"HINDUNILVR","EQ","27-Aug-2024","2,821.15","2,809.00","2,824.10","2,759.55","2,767.00","2,766.90","2,783.91","13,57,212","3,77,83,61,103.10","80,220","9,86,503","72.69"
"HINDUNILVR","EQ","28-Aug-2024","2,766.90","2,760.00","2,781.75","2,745.75","2,765.00","2,764.35","2,758.53","17,23,549","4,75,44,53,949.85","91,496","12,68,547","73.60"
"HINDUNILVR","EQ","29-Aug-2024","2,764.35","2,769.95","2,810.00","2,745.00","2,784.35","2,785.25","2,785.42","21,29,934","5,93,27,63,228.95","1,16,000","10,15,486","47.68"
"HINDUNILVR","EQ","30-Aug-2024","2,785.25","2,795.70","2,816.30","2,760.10","2,782.40","2,778.00","2,781.22","40,29,712","11,20,75,29,894.15","1,14,168","26,62,420","66.07"
"HINDUNILVR","EQ","02-Sep-2024","2,778.00","2,794.00","2,808.90","2,779.00","2,790.80","2,789.05","2,796.28","9,57,950","2,67,86,96,304.80","64,674","6,04,733","63.13"
"HINDUNILVR","EQ","03-Sep-2024","2,789.05","2,780.00","2,827.95","2,775.00","2,794.95","2,794.30","2,805.82","20,22,116","5,67,36,87,504.15","94,940","13,72,099","67.85"
"HINDUNILVR","EQ","04-Sep-2024","2,794.30","2,780.00","2,843.85","2,771.65","2,841.95","2,841.25","2,826.35","16,40,986","4,63,79,98,080.55","90,807","9,79,094","59.66"
"HINDUNILVR","EQ","05-Sep-2024","2,841.25","2,840.05","2,855.00","2,823.65","2,832.25","2,838.45","2,839.91","19,45,173","5,52,41,20,805.80","1,03,891","12,25,203","62.99"
"HINDUNILVR","EQ","06-Sep-2024","2,838.45","2,828.10","2,866.45","2,828.10","2,838.60","2,838.95","2,844.07","16,72,730","4,75,73,66,477.30","1,15,815","8,78,945","52.55"
"HINDUNILVR","EQ","09-Sep-2024","2,838.95","2,853.10","2,938.20","2,843.20","2,920.00","2,921.80","2,906.21","33,42,754","9,71,47,28,964.15","1,44,983","16,96,377","50.75"
"HINDUNILVR","EQ","10-Sep-2024","2,921.80","2,934.00","2,937.60","2,887.50","2,902.30","2,898.60","2,908.85","15,36,584","4,46,96,90,376.80","1,22,405","9,65,781","62.85"
"HINDUNILVR","EQ","11-Sep-2024","2,898.60","2,911.60","2,950.00","2,898.10","2,911.00","2,904.15","2,923.46","19,13,665","5,59,45,16,103.95","1,40,854","11,48,981","60.04"
"HINDUNILVR","EQ","12-Sep-2024","2,904.15","2,911.00","2,963.40","2,894.20","2,945.25","2,956.40","2,938.06","24,54,564","7,21,16,45,332.40","1,47,980","15,27,846","62.25"
"HINDUNILVR","EQ","13-Sep-2024","2,956.40","2,956.40","2,956.40","2,918.50","2,938.70","2,932.95","2,934.18","19,02,001","5,58,08,21,637.75","1,49,524","13,24,288","69.63"
"HINDUNILVR","EQ","16-Sep-2024","2,932.95","2,910.00","2,910.00","2,807.40","2,869.50","2,867.10","2,864.78","14,89,057","4,26,58,16,785.90","86,653","7,81,950","52.51"
"HINDUNILVR","EQ","17-Sep-2024","2,867.10","2,867.10","2,913.90","2,860.10","2,875.05","2,873.50","2,876.72","10,98,661","3,16,05,43,430.00","94,971","6,92,764","63.06"
"HINDUNILVR","EQ","18-Sep-2024","2,873.50","2,874.00","2,893.55","2,861.70","2,870.00","2,875.85","2,876.50","4,64,796","1,33,69,83,610.30","36,369","2,54,291","54.71"
"HINDUNILVR","EQ","19-Sep-2024","2,875.85","2,876.25","2,934.30","2,873.35","2,908.40","2,911.75","2,911.53","17,13,010","4,98,74,76,944.60","1,06,899","8,02,948","46.87"
"HINDUNILVR","EQ","20-Sep-2024","2,911.75","2,924.80","2,989.35","2,895.40","2,968.60","2,977.60","2,961.27","36,41,632","10,78,38,39,254.35","1,86,274","18,19,612","49.97"
"HINDUNILVR","EQ","23-Sep-2024","2,977.60","2,980.00","3,035.00","2,969.95","3,028.00","3,028.55","3,013.57","13,00,470","3,91,90,59,637.50","1,09,176","7,95,245","61.15"
"HINDUNILVR","EQ","24-Sep-2024","3,028.55","3,020.00","3,020.00","2,946.10","2,952.65","2,950.55","2,973.96","19,29,308","5,73,76,85,723.70","1,22,009","12,55,583","65.08"
"HINDUNILVR","EQ","25-Sep-2024","2,950.55","2,950.55","2,960.35","2,905.10","2,949.05","2,948.95","2,932.32","10,55,354","3,09,46,32,378.80","73,241","6,04,839","57.31"
"HINDUNILVR","EQ","26-Sep-2024","2,948.95","2,951.10","2,992.85","2,941.20","2,990.90","2,986.10","2,964.40","19,02,889","5,64,09,31,475.75","93,135","12,73,336","66.92"
"HINDUNILVR","EQ","27-Sep-2024","2,986.10","2,986.10","3,030.00","2,952.75","2,965.00","2,966.25","2,982.46","29,77,081","8,87,90,21,187.65","1,58,743","21,51,532","72.27"
"HINDUNILVR","EQ","30-Sep-2024","2,966.25","2,964.20","2,997.90","2,942.60","2,959.40","2,958.30","2,962.06","16,27,702","4,82,13,58,744.40","1,08,922","11,69,183","71.83"
"HINDUNILVR","EQ","01-Oct-2024","2,958.30","2,962.70","2,962.70","2,891.40","2,927.50","2,923.75","2,922.97","11,84,642","3,46,26,67,505.80","87,907","6,98,931","59.00"
"HINDUNILVR","EQ","03-Oct-2024","2,923.75","2,908.75","2,923.10","2,861.10","2,904.35","2,893.35","2,897.85","12,33,447","3,57,43,41,402.50","1,02,836","7,01,794","56.90"
"HINDUNILVR","EQ","04-Oct-2024","2,893.35","2,891.00","2,914.00","2,817.05","2,843.10","2,848.75","2,867.35","24,56,486","7,04,35,98,686.60","1,69,373","11,78,582","47.98"
"HINDUNILVR","EQ","07-Oct-2024","2,848.75","2,845.00","2,866.45","2,825.05","2,840.00","2,833.40","2,838.69","12,80,975","3,63,62,93,820.50","1,06,091","8,24,751","64.38"
"HINDUNILVR","EQ","08-Oct-2024","2,833.40","2,844.00","2,886.00","2,798.70","2,818.00","2,818.80","2,833.16","17,61,488","4,99,05,78,416.80","1,15,275","10,54,478","59.86"
"HINDUNILVR","EQ","09-Oct-2024","2,818.80","2,823.40","2,825.85","2,760.70","2,777.80","2,768.95","2,790.75","14,76,282","4,11,99,35,658.15","1,07,415","9,48,911","64.28"
"HINDUNILVR","EQ","10-Oct-2024","2,768.95","2,770.00","2,787.40","2,733.20","2,755.00","2,754.70","2,747.95","20,65,078","5,67,47,40,997.35","1,17,941","14,19,402","68.73"
"HINDUNILVR","EQ","11-Oct-2024","2,754.70","2,764.80","2,790.00","2,737.05","2,785.05","2,783.20","2,770.28","6,79,307","1,88,18,71,917.50","57,079","3,32,538","48.95"
"HINDUNILVR","EQ","14-Oct-2024","2,783.20","2,791.60","2,804.70","2,765.00","2,792.00","2,789.10","2,789.49","8,74,010","2,43,80,44,733.20","81,657","5,97,963","68.42"
"HINDUNILVR","EQ","15-Oct-2024","2,789.10","2,793.10","2,799.30","2,765.25","2,789.15","2,781.45","2,784.53","10,82,666","3,01,47,14,189.75","72,874","7,44,297","68.75"
"HINDUNILVR","EQ","16-Oct-2024","2,781.45","2,789.15","2,797.55","2,755.60","2,777.05","2,781.25","2,778.43","11,70,797","3,25,29,78,313.85","74,497","7,65,699","65.40"
"HINDUNILVR","EQ","17-Oct-2024","2,781.25","2,779.45","2,782.00","2,723.45","2,738.90","2,738.65","2,749.13","13,68,242","3,76,14,80,498.70","80,116","8,59,780","62.84"
"HINDUNILVR","EQ","18-Oct-2024","2,738.65","2,738.65","2,740.00","2,693.45","2,722.95","2,717.10","2,714.55","11,37,277","3,08,71,97,011.60","1,10,294","6,04,412","53.15"
"HINDUNILVR","EQ","21-Oct-2024","2,717.10","2,715.00","2,738.00","2,680.45","2,685.40","2,693.55","2,700.31","7,92,345","2,13,95,74,106.65","73,712","4,89,818","61.82"
"HINDUNILVR","EQ","22-Oct-2024","2,693.55","2,685.10","2,710.00","2,673.75","2,688.95","2,681.70","2,688.82","12,72,253","3,42,08,61,450.45","92,221","9,31,471","73.21"
"HINDUNILVR","EQ","23-Oct-2024","2,681.70","2,621.00","2,693.05","2,621.00","2,659.35","2,659.30","2,668.43","14,31,962","3,82,10,96,542.30","90,801","9,52,540","66.52"
"HINDUNILVR","EQ","24-Oct-2024","2,659.30","2,647.00","2,647.00","2,452.60","2,504.75","2,505.10","2,504.20","92,16,267","23,07,93,75,670.20","4,04,536","53,65,070","58.21"
"HINDUNILVR","EQ","25-Oct-2024","2,505.10","2,502.30","2,540.00","2,500.10","2,530.30","2,528.05","2,522.38","27,61,166","6,96,47,11,820.40","1,96,103","17,10,209","61.94"
"HINDUNILVR","EQ","28-Oct-2024","2,528.05","2,544.00","2,589.60","2,520.10","2,575.00","2,575.80","2,568.96","8,52,829","2,19,08,85,516.55","72,864","4,57,418","53.64"
"HINDUNILVR","EQ","29-Oct-2024","2,575.80","2,585.70","2,585.70","2,536.00","2,550.00","2,547.65","2,548.55","16,95,654","4,32,14,64,692.30","1,12,534","12,43,013","73.31"
"HINDUNILVR","EQ","30-Oct-2024","2,547.65","2,557.00","2,563.30","2,533.40","2,559.35","2,554.95","2,554.80","12,00,637","3,06,73,89,206.15","93,066","8,36,622","69.68"
"HINDUNILVR","EQ","31-Oct-2024","2,554.95","2,554.95","2,563.50","2,524.10","2,526.90","2,528.25","2,535.10","19,01,355","4,82,01,32,910.95","1,08,312","13,08,464","68.82"
"HINDUNILVR","EQ","01-Nov-2024","2,528.25","2,543.95","2,545.95","2,511.35","2,539.00","2,537.50","2,535.95","1,18,532","30,05,91,045.35","14,828","62,230","52.50"
"HINDUNILVR","EQ","04-Nov-2024","2,537.50","2,547.00","2,547.00","2,503.50","2,520.00","2,524.80","2,521.42","10,97,260","2,76,66,52,041.10","93,220","6,83,938","62.33"
"HINDUNILVR","EQ","05-Nov-2024","2,524.80","2,520.00","2,530.25","2,507.00","2,523.00","2,521.35","2,518.32","7,02,046","1,76,79,77,905.00","60,572","3,90,276","55.59"
"HINDUNILVR","EQ","06-Nov-2024","2,521.35","2,515.20","2,522.10","2,495.00","2,509.00","2,500.70","2,505.02","12,19,166","3,05,40,37,451.75","87,753","7,12,231","58.42"
"HINDUNILVR","EQ","07-Nov-2024","2,500.70","2,500.70","2,509.90","2,466.10","2,480.50","2,475.50","2,477.18","13,22,446","3,27,59,40,282.40","85,081","8,61,252","65.13"
"HINDUNILVR","EQ","08-Nov-2024","2,475.50","2,483.95","2,515.25","2,467.30","2,505.00","2,507.70","2,496.30","17,00,877","4,24,59,07,078.85","1,10,305","11,11,061","65.32"
"HINDUNILVR","EQ","11-Nov-2024","2,507.70","2,509.00","2,514.90","2,475.05","2,491.30","2,491.05","2,497.99","11,75,577","2,93,65,78,624.70","74,700","7,93,053","67.46"
"HINDUNILVR","EQ","12-Nov-2024","2,491.05","2,495.00","2,496.95","2,456.00","2,462.10","2,461.50","2,466.94","16,24,222","4,00,68,64,964.05","1,12,872","12,07,650","74.35"
"HINDUNILVR","EQ","13-Nov-2024","2,461.50","2,462.10","2,472.80","2,450.40","2,460.35","2,464.95","2,463.83","12,62,017","3,10,93,93,671.60","1,03,366","9,05,573","71.76"
"HINDUNILVR","EQ","14-Nov-2024","2,464.95","2,460.40","2,464.70","2,383.70","2,392.95","2,389.20","2,410.13","24,43,393","5,88,88,96,810.40","1,99,966","14,43,303","59.07"
"HINDUNILVR","EQ","18-Nov-2024","2,389.20","2,401.15","2,425.00","2,375.75","2,424.20","2,422.90","2,406.22","13,74,215","3,30,66,67,092.45","1,05,200","9,59,140","69.80"
"HINDUNILVR","EQ","19-Nov-2024","2,422.90","2,431.90","2,440.20","2,405.10","2,409.40","2,410.35","2,425.32","11,33,370","2,74,87,82,383.95","75,226","7,34,551","64.81"
"HINDUNILVR","EQ","21-Nov-2024","2,410.35","2,424.75","2,424.75","2,376.10","2,384.00","2,382.80","2,391.71","12,91,829","3,08,96,75,257.95","1,13,838","7,27,787","56.34"
"HINDUNILVR","EQ","22-Nov-2024","2,382.80","2,390.95","2,452.10","2,377.85","2,440.00","2,445.25","2,424.67","16,96,471","4,11,33,75,805.15","1,29,473","11,56,911","68.20"
"HINDUNILVR","EQ","25-Nov-2024","2,445.25","2,470.00","2,505.70","2,457.60","2,474.95","2,471.45","2,478.75","43,68,045","10,82,73,13,208.35","1,31,000","32,18,470","73.68"
"HINDUNILVR","EQ","26-Nov-2024","2,471.45","2,486.25","2,494.95","2,460.40","2,478.20","2,479.20","2,481.45","9,82,442","2,43,78,80,750.80","75,656","5,82,981","59.34"
"HINDUNILVR","EQ","27-Nov-2024","2,479.20","2,475.15","2,492.95","2,458.00","2,486.65","2,486.90","2,477.05","9,48,232","2,34,88,13,503.65","74,848","5,66,670","59.76"
"HINDUNILVR","EQ","28-Nov-2024","2,486.90","2,486.00","2,539.15","2,453.20","2,468.40","2,462.20","2,481.94","25,40,530","6,30,54,36,946.10","1,42,960","14,63,791","57.62"
"HINDUNILVR","EQ","29-Nov-2024","2,462.20","2,455.10","2,507.50","2,455.10","2,492.00","2,496.15","2,495.54","17,95,164","4,47,99,12,398.40","1,56,509","12,57,903","70.07"
"HINDUNILVR","EQ","02-Dec-2024","2,496.15","2,485.00","2,490.50","2,460.55","2,479.00","2,479.15","2,476.74","10,06,993","2,49,40,59,293.35","87,993","6,06,214","60.20"
"HINDUNILVR","EQ","03-Dec-2024","2,479.15","2,480.00","2,491.45","2,466.00","2,482.00","2,482.85","2,479.52","16,41,588","4,07,03,49,094.80","96,217","12,22,095","74.45"
"HINDUNILVR","EQ","04-Dec-2024","2,482.85","2,481.10","2,493.00","2,456.55","2,464.90","2,464.50","2,476.77","13,21,495","3,27,30,42,233.70","96,902","9,37,643","70.95"
"HINDUNILVR","EQ","05-Dec-2024","2,464.50","2,465.60","2,515.00","2,450.05","2,496.00","2,494.60","2,488.68","20,71,795","5,15,60,34,885.20","1,44,220","10,98,782","53.04"
"HINDUNILVR","EQ","06-Dec-2024","2,494.60","2,495.00","2,495.80","2,475.00","2,485.00","2,483.80","2,482.65","13,08,086","3,24,75,25,698.05","82,295","7,85,594","60.06"
"HINDUNILVR","EQ","09-Dec-2024","2,483.80","2,465.00","2,476.95","2,383.30","2,402.00","2,400.75","2,398.76","33,85,021","8,11,98,48,926.60","1,75,133","21,42,339","63.29"
"HINDUNILVR","EQ","10-Dec-2024","2,400.75","2,408.70","2,413.00","2,388.30","2,399.45","2,397.35","2,398.37","20,63,838","4,94,98,47,533.25","96,177","15,39,681","74.60"
"HINDUNILVR","EQ","11-Dec-2024","2,397.35","2,405.00","2,409.35","2,385.00","2,405.00","2,401.35","2,399.34","17,18,225","4,12,26,13,165.55","77,630","12,74,091","74.15"
"HINDUNILVR","EQ","12-Dec-2024","2,401.35","2,385.05","2,399.95","2,338.00","2,345.90","2,344.95","2,355.13","32,31,056","7,60,95,41,556.35","1,59,588","20,65,302","63.92"
"HINDUNILVR","EQ","13-Dec-2024","2,344.95","2,344.95","2,394.55","2,333.45","2,391.25","2,390.10","2,370.64","22,60,902","5,35,97,75,739.25","1,28,176","12,25,042","54.18"
"HINDUNILVR","EQ","16-Dec-2024","2,390.10","2,390.30","2,393.00","2,363.00","2,364.00","2,366.15","2,370.16","12,47,552","2,95,68,97,640.70","89,234","8,08,176","64.78"
"HINDUNILVR","EQ","17-Dec-2024","2,366.15","2,353.35","2,380.00","2,353.35","2,364.00","2,363.25","2,364.99","21,31,569","5,04,11,30,370.85","1,31,845","14,33,390","67.25"
"HINDUNILVR","EQ","18-Dec-2024","2,363.25","2,350.05","2,383.00","2,350.05","2,361.95","2,359.20","2,365.50","9,88,403","2,33,80,63,393.95","67,462","5,97,765","60.48"
"HINDUNILVR","EQ","19-Dec-2024","2,359.20","2,347.00","2,386.95","2,336.00","2,363.85","2,359.85","2,356.41","16,55,915","3,90,20,08,200.55","1,10,359","8,13,236","49.11"
"HINDUNILVR","EQ","20-Dec-2024","2,359.85","2,352.10","2,373.50","2,324.65","2,340.10","2,333.90","2,346.13","20,69,691","4,85,57,73,158.80","1,03,192","12,93,137","62.48"
"HINDUNILVR","EQ","23-Dec-2024","2,333.90","2,337.00","2,351.75","2,315.25","2,339.55","2,338.90","2,335.09","10,66,199","2,48,96,73,239.80","78,523","5,85,247","54.89"
"HINDUNILVR","EQ","24-Dec-2024","2,338.90","2,331.10","2,356.95","2,331.10","2,333.00","2,335.55","2,342.87","6,83,646","1,60,16,90,436.25","52,515","3,97,543","58.15"
"HINDUNILVR","EQ","26-Dec-2024","2,335.55","2,332.25","2,341.85","2,324.70","2,329.00","2,332.75","2,333.56","10,33,769","2,41,23,64,355.00","65,903","6,30,427","60.98"
"HINDUNILVR","EQ","27-Dec-2024","2,332.75","2,343.00","2,345.65","2,328.25","2,344.00","2,341.25","2,339.22","5,56,816","1,30,25,13,246.55","50,788","3,08,821","55.46"
"HINDUNILVR","EQ","30-Dec-2024","2,341.25","2,341.50","2,359.15","2,325.00","2,338.00","2,343.50","2,340.30","9,24,180","2,16,28,56,965.35","74,914","6,11,141","66.13"
"HINDUNILVR","EQ","31-Dec-2024","2,343.50","2,340.00","2,352.65","2,323.25","2,327.00","2,326.85","2,335.10","18,78,762","4,38,70,88,011.30","70,179","14,48,423","77.09"
